Problem:    lb_2
Rows:       2960
Columns:    8374 (8372 integer, 8372 binary)
Non-zeros:  33537
Status:     INTEGER OPTIMAL
Objective:  IND = 1016 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 IND                      1016                             
     2 CI1                         0            -0               
   321 TDD[6,13]                   2             2             = 
   322 TDD[7,0]                    2             2             = 
   323 TDD[7,1]                    2             2             = 
   324 TDD[7,2]                    2             2             = 
   325 TDD[7,3]                    2             2             = 
   326 TDD[7,4]                    2             2             = 
   327 TDD[7,5]                    2             2             = 
   328 TDD[7,6]                    2             2             = 
   329 TDD[7,8]                    2             2             = 
   330 TDD[7,9]                    2             2             = 
   331 TDD[7,10]                   2             2             = 
   332 TDD[7,11]                   2             2             = 
   333 TDD[7,12]                   2             2             = 
   334 TDD[7,13]                   2             2             = 
   335 TDD[8,0]                    2             2             = 
   336 TDD[8,1]                    2             2             = 
   337 TDD[8,2]                    2             2             = 
   338 TDD[8,3]                    2             2             = 
   339 TDD[8,4]                    2             2             = 
   340 TDD[8,5]                    2             2             = 
   341 TDD[8,6]                    2             2             = 
   342 TDD[8,7]                    2             2             = 
   343 TDD[8,9]                    2             2             = 
   344 TDD[8,10]                   2             2             = 
   345 TDD[8,11]                   2             2             = 
   346 TDD[8,12]                   2             2             = 
   347 TDD[8,13]                   2             2             = 
   348 TDD[9,0]                    2             2             = 
   349 TDD[9,1]                    2             2             = 
   350 TDD[9,2]                    2             2             = 
   351 TDD[9,3]                    2             2             = 
   352 TDD[9,4]                    2             2             = 
   353 TDD[9,5]                    2             2             = 
   354 TDD[9,6]                    2             2             = 
   355 TDD[9,7]                    2             2             = 
   356 TDD[9,8]                    2             2             = 
   357 TDD[9,10]                   2             2             = 
   358 TDD[9,11]                   2             2             = 
   359 TDD[9,12]                   2             2             = 
   360 TDD[9,13]                   2             2             = 
   361 TDD[10,0]                   2             2             = 
   362 TDD[10,1]                   2             2             = 
   363 TDD[10,2]                   2             2             = 
   364 TDD[10,3]                   2             2             = 
   365 TDD[10,4]                   2             2             = 
   366 TDD[10,5]                   2             2             = 
   367 TDD[10,6]                   2             2             = 
   368 TDD[10,7]                   2             2             = 
   369 TDD[10,8]                   2             2             = 
   370 TDD[10,9]                   2             2             = 
   371 TDD[10,11]                  2             2             = 
   372 TDD[10,12]                  2             2             = 
   373 TDD[10,13]                  2             2             = 
   374 TDD[11,0]                   2             2             = 
   375 TDD[11,1]                   2             2             = 
   376 TDD[11,2]                   2             2             = 
   377 TDD[11,3]                   2             2             = 
   378 TDD[11,4]                   2             2             = 
   379 TDD[11,5]                   2             2             = 
   380 TDD[11,6]                   2             2             = 
   381 TDD[11,7]                   2             2             = 
   382 TDD[11,8]                   2             2             = 
   383 TDD[11,9]                   2             2             = 
   384 TDD[11,10]                  2             2             = 
   385 TDD[11,12]                  2             2             = 
   386 TDD[11,13]                  2             2             = 
   387 TDD[12,0]                   2             2             = 
   388 TDD[12,1]                   2             2             = 
   389 TDD[12,2]                   2             2             = 
   390 TDD[12,3]                   2             2             = 
   391 TDD[12,4]                   2             2             = 
   392 TDD[12,5]                   2             2             = 
   393 TDD[12,6]                   2             2             = 
   394 TDD[12,7]                   2             2             = 
   395 TDD[12,8]                   2             2             = 
   396 TDD[12,9]                   2             2             = 
   397 TDD[12,10]                  2             2             = 
   398 TDD[12,11]                  2             2             = 
   399 TDD[12,13]                  2             2             = 
   400 TDD[13,0]                   2             2             = 
   401 TDD[13,1]                   2             2             = 
   402 TDD[13,2]                   2             2             = 
   403 TDD[13,3]                   2             2             = 
   404 TDD[13,4]                   2             2             = 
   405 TDD[13,5]                   2             2             = 
   406 TDD[13,6]                   2             2             = 
   407 TDD[13,7]                   2             2             = 
   408 TDD[13,8]                   2             2             = 
   409 TDD[13,9]                   2             2             = 
   410 TDD[13,10]                  2             2             = 
   411 TDD[13,11]                  2             2             = 
   412 TDD[13,12]                  2             2             = 
   413 SpecCont[0,1,0]
                                   0            -0             = 
   414 SpecCont[0,1,1]
                                   0            -0             = 
   415 SpecCont[0,1,2]
                                   0            -0             = 
   416 SpecCont[0,1,3]
                                   0            -0             = 
   417 SpecCont[0,1,4]
                                   0            -0             = 
   418 SpecCont[0,1,5]
                                   0            -0             = 
   419 SpecCont[0,1,6]
                                   0            -0             = 
   420 SpecCont[0,1,7]
                                   0            -0             = 
   421 SpecCont[0,1,8]
                                   0            -0             = 
   422 SpecCont[0,1,9]
                                   0            -0             = 
   423 SpecCont[0,1,10]
                                   0            -0             = 
   424 SpecCont[0,1,11]
                                   0            -0             = 
   425 SpecCont[0,1,12]
                                   0            -0             = 
   426 SpecCont[0,1,13]
                                   0            -0             = 
   427 SpecCont[0,2,0]
                                   0            -0             = 
   428 SpecCont[0,2,1]
                                   0            -0             = 
   429 SpecCont[0,2,2]
                                   0            -0             = 
   430 SpecCont[0,2,3]
                                   0            -0             = 
   431 SpecCont[0,2,4]
                                   0            -0             = 
   432 SpecCont[0,2,5]
                                   0            -0             = 
   433 SpecCont[0,2,6]
                                   0            -0             = 
   434 SpecCont[0,2,7]
                                   0            -0             = 
   435 SpecCont[0,2,8]
                                   0            -0             = 
   436 SpecCont[0,2,9]
                                   0            -0             = 
   437 SpecCont[0,2,10]
                                   0            -0             = 
   438 SpecCont[0,2,11]
                                   0            -0             = 
   439 SpecCont[0,2,12]
                                   0            -0             = 
   440 SpecCont[0,2,13]
                                   0            -0             = 
   441 SpecCont[0,3,0]
                                   0            -0             = 
   442 SpecCont[0,3,1]
                                   0            -0             = 
   443 SpecCont[0,3,2]
                                   0            -0             = 
   444 SpecCont[0,3,3]
                                   0            -0             = 
   445 SpecCont[0,3,4]
                                   0            -0             = 
   446 SpecCont[0,3,5]
                                   0            -0             = 
   447 SpecCont[0,3,6]
                                   0            -0             = 
   448 SpecCont[0,3,7]
                                   0            -0             = 
   449 SpecCont[0,3,8]
                                   0            -0             = 
   450 SpecCont[0,3,9]
                                   0            -0             = 
   451 SpecCont[0,3,10]
                                   0            -0             = 
   452 SpecCont[0,3,11]
                                   0            -0             = 
   453 SpecCont[0,3,12]
                                   0            -0             = 
   454 SpecCont[0,3,13]
                                   0            -0             = 
   455 SpecCont[0,4,0]
                                   0            -0             = 
   456 SpecCont[0,4,1]
                                   0            -0             = 
   457 SpecCont[0,4,2]
                                   0            -0             = 
   458 SpecCont[0,4,3]
                                   0            -0             = 
   459 SpecCont[0,4,4]
                                   0            -0             = 
   460 SpecCont[0,4,5]
                                   0            -0             = 
   461 SpecCont[0,4,6]
                                   0            -0             = 
   462 SpecCont[0,4,7]
                                   0            -0             = 
   463 SpecCont[0,4,8]
                                   0            -0             = 
   464 SpecCont[0,4,9]
                                   0            -0             = 
   465 SpecCont[0,4,10]
                                   0            -0             = 
   466 SpecCont[0,4,11]
                                   0            -0             = 
   467 SpecCont[0,4,12]
                                   0            -0             = 
   468 SpecCont[0,4,13]
                                   0            -0             = 
   469 SpecCont[0,5,0]
                                   0            -0             = 
   470 SpecCont[0,5,1]
                                   0            -0             = 
   471 SpecCont[0,5,2]
                                   0            -0             = 
   472 SpecCont[0,5,3]
                                   0            -0             = 
   473 SpecCont[0,5,4]
                                   0            -0             = 
   474 SpecCont[0,5,5]
                                   0            -0             = 
   475 SpecCont[0,5,6]
                                   0            -0             = 
   476 SpecCont[0,5,7]
                                   0            -0             = 
   477 SpecCont[0,5,8]
                                   0            -0             = 
   478 SpecCont[0,5,9]
                                   0            -0             = 
   479 SpecCont[0,5,10]
                                   0            -0             = 
   480 SpecCont[0,5,11]
                                   0            -0             = 
   481 SpecCont[0,5,12]
                                   0            -0             = 
   482 SpecCont[0,5,13]
                                   0            -0             = 
